Coordinates,Label
"6.140510082244873,8.67439079284668",Unlabelled
"6.678341388702393,13.204268455505371",Unlabelled
"5.285682678222656,8.69877815246582",Unlabelled
"6.259772777557373,13.253595352172852",Unlabelled
"6.512557506561279,7.707699298858643",Unlabelled
"2.053931713104248,13.061636924743652",Unlabelled
"-0.36548927426338196,9.51485538482666",Unlabelled
"9.92386531829834,6.468224048614502",Unlabelled
"5.554532527923584,6.643080711364746",Unlabelled
"6.101651191711426,9.723505020141602",Unlabelled
"8.803718566894531,11.725674629211426",Unlabelled
"4.0454840660095215,7.042397975921631",Unlabelled
"-2.02118182182312,9.701359748840332",Unlabelled
"1.977233648300171,11.686249732971191",Unlabelled
"8.907166481018066,8.531874656677246",Unlabelled
"8.515425682067871,6.582054138183594",Unlabelled
"3.723292827606201,7.249123573303223",Unlabelled
"1.7458001375198364,12.831501007080078",Unlabelled
"3.6274869441986084,6.157890319824219",Unlabelled
"2.09798526763916,9.775139808654785",Unlabelled
"5.912309169769287,10.637250900268555",Unlabelled
"8.777267456054688,11.926349639892578",Unlabelled
"6.844503402709961,8.14045238494873",Unlabelled
"8.84310531616211,12.33293628692627",Unlabelled
"4.573760509490967,6.367926597595215",Unlabelled
"7.6535115242004395,10.442017555236816",Unlabelled
"4.622068881988525,11.23156452178955",Unlabelled
"7.138175010681152,7.891504764556885",Unlabelled
"4.338054180145264,9.273387908935547",Unlabelled
"-0.17403364181518555,9.470355987548828",Unlabelled
"6.6650519371032715,8.642355918884277",Unlabelled
"0.805997908115387,8.398599624633789",Unlabelled
"3.993596076965332,6.320991516113281",Unlabelled
"1.3134876489639282,4.813808441162109",Unlabelled
"6.195516109466553,6.960413455963135",Unlabelled
"0.30567583441734314,9.491226196289062",Unlabelled
"-1.6960735321044922,6.727269649505615",Unlabelled
"6.335690975189209,11.25939655303955",Unlabelled
"4.58698844909668,11.337896347045898",Unlabelled
"3.4021434783935547,8.70806884765625",Unlabelled
"6.593039512634277,6.820194721221924",Unlabelled
"5.574405670166016,7.314366817474365",Unlabelled
"6.278966903686523,6.917813777923584",Unlabelled
"1.4504152536392212,11.995814323425293",Unlabelled
"8.290773391723633,6.000804424285889",Unlabelled
"5.009237289428711,5.678166389465332",Unlabelled
"6.5753655433654785,8.060195922851562",Unlabelled
"8.93879222869873,8.564682960510254",Unlabelled
"1.0567044019699097,6.492366790771484",Unlabelled
"6.334533214569092,5.534826278686523",Unlabelled
"1.400126338005066,4.694572448730469",Unlabelled
"-1.1276144981384277,11.331095695495605",Unlabelled
"6.396118640899658,12.626415252685547",Unlabelled
"6.442389488220215,7.917448043823242",Unlabelled
"5.5131516456604,8.015604972839355",Unlabelled
"2.8889389038085938,12.5283203125",Unlabelled
"1.855855107307434,13.492366790771484",Unlabelled
"7.32383394241333,10.105718612670898",Unlabelled
"4.039763927459717,7.040457725524902",Unlabelled
"4.660233020782471,7.115589618682861",Unlabelled
"4.507416725158691,10.257386207580566",Unlabelled
"6.4292426109313965,12.092313766479492",Unlabelled
"1.7023069858551025,11.223877906799316",Unlabelled
"8.073052406311035,13.16227912902832",Unlabelled
"6.989501953125,9.70773983001709",Unlabelled
"6.151927471160889,6.7199482917785645",Unlabelled
"4.088726043701172,5.063261032104492",Unlabelled
"7.219659328460693,8.107919692993164",Unlabelled
"5.926367282867432,9.814054489135742",Unlabelled
"9.55953598022461,6.352421760559082",Unlabelled
"6.933221340179443,8.358406066894531",Unlabelled
"7.219264984130859,10.926227569580078",Unlabelled
"6.241264343261719,7.674868106842041",Unlabelled
"3.9474430084228516,7.554115295410156",Unlabelled
"1.0666656494140625,11.73751449584961",Unlabelled
"8.848803520202637,6.616628646850586",Unlabelled
"5.597684383392334,6.741719722747803",Unlabelled
"2.5233731269836426,8.097102165222168",Unlabelled
"9.12269401550293,6.568957805633545",Unlabelled
"4.116135120391846,12.738850593566895",Unlabelled
"5.795785427093506,7.245870113372803",Unlabelled
"3.74548602104187,7.525304317474365",Unlabelled
"6.033143997192383,6.502000331878662",Unlabelled
"5.889285087585449,6.660454273223877",Unlabelled
"7.5713348388671875,7.419602870941162",Unlabelled
"4.179188251495361,8.201814651489258",Unlabelled
"-1.333188772201538,5.348584175109863",Unlabelled
"-1.517297625541687,11.179509162902832",Unlabelled
"2.954859495162964,9.767349243164062",Unlabelled
"6.031789779663086,13.567670822143555",Unlabelled
"7.275085926055908,7.930037021636963",Unlabelled
"4.827534198760986,8.788634300231934",Unlabelled
"3.0409979820251465,7.179542064666748",Unlabelled
"7.248894214630127,11.538836479187012",Unlabelled
"5.871870994567871,13.266891479492188",Unlabelled
"2.4687678813934326,13.384806632995605",Unlabelled
"7.316076278686523,12.47378921508789",Unlabelled
"1.887580394744873,11.964961051940918",Unlabelled
